bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,yr_built,price
5,2.5,3650,9050,280,1921,2384000
3,2.25,2000,8030,1000,1963,420000
4,2.5,1940,10500,800,1976,550000
3,2.5,2430,88426,860,1985,452500
4,2.5,2920,4000,1010,1909,1400000
3,1.75,2330,14892,360,1980,588500
3,1.75,2240,10578,690,1923,750000
3,2.25,1750,1572,280,2005,626000
4,1.75,1600,6380,470,1959,495000
3,2.5,2090,10834,730,1987,285000
3,1.75,2360,7291,1000,1948,615000
4,2.25,2200,11250,900,1920,698000
3,2.5,2600,4750,900,1951,790000
4,2.5,2860,3345,670,2004,499950
4,2,1820,5000,180,1945,650000
4,2.5,3630,42884,1330,1979,400000
3,3,1850,19966,760,1992,287200
3,2,1960,13100,310,1957,403000
3,2.5,2390,6550,950,1955,750000
3,2,2710,4500,830,1929,805000
5,2.5,2210,9655,750,1976,470000
4,1.5,1920,10000,850,1954,430000
3,3.25,1320,1327,280,2008,385000
2,2.5,1630,1368,350,2009,295000
4,3.25,2730,54014,1170,2007,625000
3,2.5,1650,14054,520,1986,379880
3,2.5,2200,7350,630,1988,365000
4,2.5,2530,9933,520,1990,331950
3,2.5,2850,7130,860,1980,783500
4,2,2280,6010,1140,1900,628000
2,3,1270,1175,160,2000,531000
4,3,2170,4000,560,1982,831000
4,2.5,2120,10202,500,1960,755000
4,2.25,1990,7712,780,1973,627000
2,1,2540,7000,1220,1942,580000
3,2.25,1800,36704,440,1978,410000
4,3,2340,7048,1000,1979,485000
2,3,1410,1240,270,2006,405000
3,1.5,2160,9000,760,1949,650000
6,1.75,2920,5000,140,1908,823000
3,2,2350,5700,540,1939,770000
3,1.75,1560,5520,780,1944,524000
5,2.75,2740,8426,1370,1960,541125
5,2.5,3090,12750,1340,1968,384900
5,3.5,4010,8510,1160,1971,1395000
3,2.25,2010,6000,680,1975,570000
5,2,1840,9240,300,1942,435000
4,1,2070,7519,910,1963,501000
4,1,1390,4240,340,1924,657100
5,1.75,2550,71874,740,1960,525888
5,2.75,3190,16920,1500,1976,1030000
4,1.75,1970,9389,830,1960,379950
7,8,13540,307752,4130,1999,2280000
3,1.75,1880,6360,840,1945,600000
3,1.75,1920,9306,920,1984,245000
5,2,2050,10200,620,1956,210000
2,1,1770,8640,250,1949,585000
4,1.75,2300,11700,340,1977,615000
3,2,1800,5000,720,1942,618500
4,1.75,2010,9211,540,1977,487585
4,4.25,4420,5750,1010,2006,890000
3,2.25,1620,998,80,2010,415000
5,3.5,4490,6000,1290,2006,890000
4,2,1440,7680,240,1971,397000
3,1,1350,7740,490,1947,353000
3,1.75,1490,8366,480,1975,234000
3,1.75,1580,8151,480,1962,279900
3,1.5,1630,7475,470,1940,650000
4,2.75,3370,8103,1400,1970,1135000
4,2.5,1890,6156,910,1980,325000
4,2.25,2810,23400,1100,1958,407000
3,2.25,1640,14374,500,1963,362000
4,1.75,1500,11600,500,1955,379900
2,2.25,1230,929,210,2004,460000
5,2.5,2240,7770,900,1978,455000
4,3,2450,10117,870,1967,610000
4,3,3100,15480,700,1996,563000
4,2,2060,5000,1030,1949,612500
3,1.75,1850,7684,530,1979,218000
4,1.75,1840,10720,880,1958,404000
3,1,1510,6083,650,1940,313950
3,1.75,2130,6500,960,1954,575000
4,2.25,3490,6906,1210,1928,1225000
4,2.25,2260,29930,860,1977,599000
4,3.25,3760,10920,1360,1950,1580000
5,2.5,2910,9636,1220,1964,530000
3,2.5,2970,11985,1200,1995,525000
2,1.75,1660,6000,500,1942,484000
5,2.75,1800,3780,400,1926,533000
3,1.75,1900,5520,620,1982,385000
3,1.75,1690,7735,630,1976,197000
3,2.25,1980,8000,420,1974,295000
2,1.75,1170,2400,430,1903,499000
3,2.5,2200,1970,590,2008,1050000
5,3.75,2890,5000,1580,2006,390000
5,5,4490,10279,560,2013,1800000
5,2.25,2060,8632,1030,1962,255000
3,2.75,1540,6760,330,1980,503000
3,1.75,1840,10723,620,1974,310000
3,2.75,2520,5401,1160,1946,750000
9,4.5,3830,6988,1380,1938,599999
4,2.75,2410,9549,630,1956,758000
3,1.75,2070,37904,650,1973,310000
3,3,4120,60392,940,1994,560000
7,4.5,6210,8856,1450,1910,3200000
3,1.75,1580,9147,370,1967,515000
4,2.75,2600,6050,640,1949,749950
3,2,2350,5080,570,1929,568000
1,1,1100,4373,280,1947,250000
4,2,2510,13695,1230,1961,581000
3,2.5,2460,108900,600,1977,600000
5,2.5,2420,8560,800,1978,352000
3,1.75,1960,4788,870,1920,599000
4,2.5,3305,16164,1060,1922,492000
2,2.25,2550,5663,830,2011,630000
5,3.75,4130,226076,960,1985,900000
4,1.5,2310,13300,420,1950,1110000
4,2.5,2650,4316,1130,1905,705000
4,2.25,1890,5940,420,1963,940000
3,3,2270,5175,140,2002,640000
3,2,1610,4160,600,1917,485000
2,1,1640,17335,800,1978,379500
3,3,2960,5500,520,1937,1340000
3,1.75,1500,6180,440,1947,440000
3,1,1340,4284,260,1910,530000
3,2,2540,7200,940,1905,775000
3,1.75,1640,10762,510,1988,226500
5,1.75,3000,6000,1500,1958,380000
4,2.75,2140,13000,820,1968,409500
3,2,1760,6428,780,1942,690000
4,2,2210,8556,1000,1954,794154
3,1.5,1260,1270,220,2005,245000
5,4.5,4270,8076,870,2007,1532500
5,2.75,2410,5003,1000,2008,365000
2,1,1540,6872,720,1946,615000
5,2.5,3160,11470,1380,1971,980000
4,1.75,1730,8320,500,1977,258000
3,1,1670,4080,500,1967,533000
5,3,3040,9601,1070,1968,830000
3,1,1250,4620,100,1900,712000
3,2.5,1960,8000,670,1977,402000
2,2.5,1360,1349,310,1997,553650
4,1.5,2130,8800,1030,1962,260000
2,1.75,2200,89298,1100,1973,295000
3,2.5,1940,8547,480,1989,266000
4,1.75,2060,26036,900,1947,647500
4,1,3410,5000,1220,1910,1039000
4,1.75,2480,9195,1090,1950,780000
3,1.5,2240,87625,760,1980,335000
3,1.75,1890,9920,660,1944,385000
4,1.75,2250,13515,100,1940,350000
2,1,1270,3008,620,1923,235000
4,1.75,2000,6120,900,1965,228000
4,1.75,1840,9600,620,1967,538000
3,1.75,2430,12757,1090,1952,1500000
4,2.75,2280,2850,740,1930,530000
3,1.75,950,6000,160,1939,230000
5,3.25,2800,3200,890,1932,1307000
6,2.25,2820,15600,850,1940,543200
4,3.25,3820,24166,510,1990,1250000
3,2.5,1540,1614,70,2008,413450
3,3.25,2640,4080,800,1912,930000
2,1.5,1110,957,180,2005,499000
4,3.5,3810,13592,1250,2013,839900
4,1.75,1750,5500,700,1926,460000
3,3,2480,45302,860,1976,610000
3,1.75,1390,8700,550,1912,280950
4,2,1650,6000,650,1959,445000
3,2.25,1445,1606,145,2003,387000
2,1,1840,3300,710,1910,490000
4,2.75,1970,7213,800,1977,323000
4,2.75,3720,9450,1760,1962,1370000
4,2,2190,14439,1010,1977,280000
3,2,1920,8075,410,1969,260000
4,4.25,5860,52889,950,1996,1157200
4,1.75,2000,4000,550,1926,536500
5,3,3480,57499,1140,1976,532000
4,2.75,3100,3773,1100,1919,742500
3,2.5,1420,14850,400,1963,260000
4,2.25,1930,7452,500,1984,312000
3,2.25,1660,10140,290,1980,566000
4,2.5,2000,13300,800,1968,290000
4,2.25,2130,8078,750,1977,311100
3,1.75,1750,11340,450,1987,491300
5,1.75,2320,8100,1160,1956,315000
2,1,1420,81892,240,1956,360000
4,2.5,2830,20345,850,1979,782000
3,1,1030,6127,150,1947,252500
5,4.5,5190,23716,1800,1987,1702500
2,2,1150,6634,290,1940,445000
4,3.5,2730,3047,330,2006,769900
5,6.5,7270,130017,850,2010,2238888
3,2.25,998,904,200,2007,324000
5,2.75,3060,7015,1460,1979,549900
4,2,2520,6000,1120,1921,875000
4,1,1940,9533,860,1962,265000
3,2.5,1350,1250,80,2006,394950
3,2.5,1370,1350,360,2007,368000
4,4.5,5420,101930,1530,2001,1225000
3,2.5,2010,2287,620,2014,453246
2,2.5,1230,1391,360,2004,490000
4,3.25,4700,38412,1280,1978,900000
2,1,1220,2500,450,1910,255000
5,2.75,3650,20150,1290,1975,1575000
3,3.25,2170,12508,520,1928,876650
4,2.25,2540,228254,1090,1990,540000
4,2.5,2980,4930,90,2000,750000
4,1.75,2120,4650,930,1951,582000
4,3.5,3460,3997,900,2004,1315000
5,3,2480,10090,1180,2004,372500
4,2,1730,5500,720,1943,360000
3,2.5,2920,34527,1120,1954,1015000
5,3,4530,258746,1330,2003,950000
3,2.5,1040,2643,320,2004,210000
4,2.25,1800,8623,440,1980,522000
3,1,980,6380,220,1941,499950
5,3,2100,7715,850,2013,330000
3,1.5,2020,11358,830,1956,465000
4,2.5,2350,3150,660,1910,870300
4,3.25,3680,5759,840,2003,788000
3,1.75,1440,8040,480,1951,315275
4,1.75,1940,4800,910,1922,505000
3,2.75,2980,27144,800,1917,947500
4,3,2110,5000,470,1930,610000
3,2,2700,6120,1350,1962,910000
5,1.75,3380,20021,1690,1963,1346400
4,2.75,2600,2750,980,1936,840000
2,1.75,1360,8100,500,1975,300000
4,2.5,2780,6369,1190,1978,505000
4,3,2400,3340,1200,1964,675000
4,2.5,2760,5000,1080,1928,734200
4,2.25,3070,16028,1200,1976,1225000
2,2.5,980,895,310,2009,369000
4,3.25,3270,5187,160,2014,1033888
4,3.75,3280,11000,960,2008,1050000
3,3.5,1810,1846,370,2009,625000
5,4.75,3830,35000,1700,1976,480000
3,2.25,2350,10450,960,1977,460000
4,2.25,2510,8165,900,1972,267345
3,2,1770,6610,810,1954,449500
3,3.25,3610,59677,1170,2003,777000
4,2,2250,7500,1050,1956,550000
4,2,2260,6000,830,1958,628000
4,1.75,2090,8164,1020,1963,581000
5,1.75,2020,7902,800,1962,245000
3,1.75,1960,5000,980,1911,415000
3,2.25,1490,9600,320,1987,287000
6,3,2890,2370,600,1906,799200
3,1.75,1680,2400,810,1922,591000
4,2.5,3740,8700,1480,2004,475000
3,1.75,1580,11750,400,1951,575000
3,2.25,1780,6120,390,1927,771000
5,2.5,3400,8970,1700,1959,464000
4,2.5,5300,26211,730,1923,2555000
3,1.5,1310,3880,220,1956,717000
3,2,1480,6600,740,1943,385000
4,2.5,3560,11119,1270,1986,860000
3,1.75,1650,8254,590,1951,370000
3,2,1940,5820,790,1944,665000
5,3,3410,9600,1540,1968,675000
4,1.5,2740,4000,810,1905,1105000
3,2.75,1250,892,210,2010,450000
4,1.75,1950,13320,580,1969,635000
5,2,2290,7125,1100,1964,580000
5,3.25,3370,17458,1370,1982,1550000
4,1.75,2180,13529,1090,1956,405000
4,1,1410,6000,600,1925,413000
5,3.25,4860,23723,1040,1989,1680000
3,1,1660,7210,560,1963,225000
3,3.5,2876,5086,516,2007,525000
3,2.5,1580,1161,570,2008,525000
4,2.5,3520,6773,870,2006,870000
3,2.5,1450,5008,610,2007,330000
4,1.75,1620,4980,760,1947,385000
3,1.75,2000,5000,890,1921,546000
4,1.75,1900,8250,950,1955,542000
5,2.5,2540,3832,780,1929,620000
5,5,5774,31675,1284,1984,740000
3,1.75,2170,26460,720,1986,510000
3,2.5,1780,7214,380,1986,266000
3,2,1850,8250,700,1952,257200
3,1,1290,5500,310,1951,372220
5,2,1700,7314,700,1956,337500
3,2.5,1690,1618,540,2014,372977
3,1.75,1400,3825,300,1904,538000
3,1.5,2360,6750,430,1926,702500
3,2.5,2090,7640,730,1962,543000
4,1.75,2010,8625,670,1957,364000
4,2.5,2150,39449,730,1978,486000
4,2.25,2060,5649,700,1941,715000
3,1,1660,7500,600,1940,458000
2,2,2370,217800,770,1992,543000
5,3,2257,10117,894,2005,349950
4,2,1630,9010,580,1975,234000
5,1.75,2220,6000,800,1923,607500
2,1,980,2130,120,1918,400000
4,2.75,2270,7375,980,1973,498000
4,3.5,4910,9444,1800,2007,1222500
3,2,1650,7352,490,1979,252350
4,2.75,2550,7636,1110,1986,582800
4,1.75,2020,7865,1010,1963,302000
4,1.75,2930,11562,1260,1947,840000
3,2.5,1870,7344,400,1980,455000
3,2,1400,7384,250,1979,225000
2,1,1490,6000,400,1946,575000
5,4.25,3920,16258,1020,1990,1000000
4,3.25,2740,7266,680,2003,689900
4,1.75,1890,8000,640,1960,375000
7,3.5,2870,29699,1350,1961,475000
3,1.75,1790,6117,440,1940,790000
3,1.75,1680,250470,610,1940,350000
3,2.5,4560,17622,760,1986,695000
4,3.25,3740,12080,1740,1988,1085000
3,2,1400,6200,700,1948,240000
4,2,2050,4000,840,1941,495000
4,2,2560,7798,670,1947,640000
4,1.75,1880,7303,870,1976,423000
4,1.75,2290,10290,950,1960,343000
3,1,1660,6582,660,1946,467000
4,2.5,3020,17810,1420,1979,575000
3,1.75,1960,8136,980,1948,340000
5,3.75,3580,14275,390,1999,765000
4,3.5,3930,5680,1110,2013,828950
3,2.25,1490,974,270,2009,312000
3,1.75,1560,4049,560,1926,451000
3,2,1760,11410,700,1977,317000
4,3.25,3120,5000,750,2005,799000
2,1,2020,7200,320,1947,720000
4,2.25,1860,7000,740,1979,239900
4,2.25,2270,7800,980,1977,446000
4,3.5,1850,6519,720,1986,248000
3,1.75,1180,10541,240,1981,385000
4,1.5,1370,9957,470,1972,370000
3,1,1260,6826,540,1944,342000
3,2,2050,3933,870,1926,724800
3,2,2180,5440,1080,1904,785000
3,2,1900,6660,950,1966,250000
3,2,2220,6641,1000,1947,875000
3,2.25,2060,38377,500,1978,306500
3,2.25,1720,4000,270,1921,620000
3,2,1020,1204,300,2004,238000
3,1.5,1100,1751,160,2007,375000
3,2.25,1440,7673,500,1982,249000
5,1.75,1730,5200,680,1978,205000
5,4.25,6490,10862,2550,1991,2000000
3,2.25,1410,1377,120,2005,377500
3,2.5,1480,1663,300,2012,341000
4,3,5520,8313,1950,2008,1270000
2,2.5,1310,1500,150,2006,500000
3,2,1700,4250,810,1944,410000
4,2.5,2060,7475,620,1985,575550
3,2.5,2130,3500,920,1994,534640
3,2.25,1410,14110,240,1987,352500
2,2,1360,4688,580,1944,488000
2,1,1490,3825,630,1929,475000
4,2.5,3190,8684,1510,1967,1216000
4,2,1690,3250,140,1901,487250
4,2.75,2070,9300,950,1945,366500
3,1.5,1710,4500,300,1928,462000
4,1,1660,4690,400,1945,560000
4,1.75,2080,13629,1040,1955,285000
5,2,3370,5000,1230,1907,762000
4,2.5,3060,10043,1360,1968,475000
3,2.5,1690,1613,540,2014,386591
3,1.75,1890,3825,600,1974,524950
4,2.75,2730,3560,1180,1921,885000
3,2.75,2170,7900,790,1978,296500
3,2.25,2030,7350,840,1977,588000
3,1,1500,4100,130,1926,485000
3,2.25,1450,1445,470,2005,482500
4,1.5,1310,8250,250,1953,251200
5,3.25,4180,49222,1300,1979,869000
4,1.75,2310,8045,660,1976,319950
3,1.75,2010,4905,780,1912,700000
2,1.5,1660,4680,830,1908,368000
5,2.75,2190,12687,820,1978,446000
3,2.25,2030,9791,530,1984,572500
3,2.5,1680,2096,300,2008,518000
4,3,2240,6000,970,1914,1190000
3,3.5,2320,3174,260,1997,530000
5,3,2100,9752,900,2007,298450
4,3.5,2680,10000,640,1942,520000
2,1.75,1480,5120,640,1951,483945
4,2.25,1770,33132,580,1965,390000
4,2,1960,7560,800,1978,250000
2,1,1770,5522,810,1943,243000
4,1.75,1280,6060,420,1926,575000
2,1,1790,4000,750,1923,710000
4,2.75,2820,13193,960,1965,615000
3,1,1910,8190,900,1946,490000
3,2.25,1270,1213,230,2005,467000
4,2.75,2050,3960,870,1986,480000
6,2,2150,4505,880,1952,755000
4,1.75,2450,13300,820,1987,760000
2,2.25,1230,1280,270,2012,387000
2,1.75,1540,4025,350,1908,570000
1,2.25,2140,10350,670,1976,458000
4,3.5,4560,16643,2330,1995,1212500
3,2.25,1400,31626,260,1987,315000
4,2,2850,7861,1400,1970,1275000
3,1,2120,7735,1060,1967,300000
4,2.75,2620,13777,900,1926,978000
6,3,2880,3192,700,1919,1125000
3,1.5,1650,9936,560,1967,219950
4,1.75,2180,28710,1000,1950,210000
4,3.5,4460,16953,1910,1962,1800000
3,1,910,8000,170,1950,299950
4,2.25,2560,12100,800,1976,765000
4,1.5,2500,6300,1000,1961,250000
4,1.75,1650,7775,500,1950,475000
3,1.75,3400,8965,1580,1957,1690000
1,1,820,1060,60,2007,194000
3,2,2020,8118,1000,1963,507500
4,2.25,1870,9680,700,1959,325000
4,2.5,1600,6765,770,1947,329000
4,1.75,2090,4300,840,1925,494000
4,1.75,1940,6909,970,1941,423000
4,2.25,3500,13875,1670,1938,879950
3,2,2010,251341,500,2003,439000
3,1.75,1690,1468,310,2008,380000
3,2.25,1970,2377,290,2008,415000
4,3.5,3120,5086,640,2008,953007
5,3.5,4460,2975,1180,2013,490000
2,2.5,1590,2656,370,2009,305000
4,3.5,3070,4684,880,2009,785000
3,1.75,1380,7350,390,1981,195000
4,3.25,3660,5800,300,1909,1506000
4,2.25,2080,12007,860,1979,442000
4,2.25,2750,6180,1250,1948,635000
3,2.75,2100,10362,590,1998,525000
4,2,1790,2250,950,1909,475000
3,2,1540,7947,420,1961,385500
5,3,2876,13927,906,1973,895000
3,1.75,1390,10905,530,1957,270000
3,3.5,2380,6250,710,1997,495000
5,3.25,3010,1074218,1000,1931,542500
4,2.75,2290,6120,120,1926,1003000
4,2.75,2550,8632,850,1972,691000
3,1.75,2470,9620,900,1962,405000
2,0.75,850,7710,300,1909,360000
3,2.5,1990,8991,420,1969,256750
3,2.5,2420,49928,560,1985,429000
4,2.5,2340,6420,750,1964,668750
4,2.75,1800,5453,750,2002,344500
4,2,1660,6150,810,1945,452000
2,1,1030,4841,110,1939,535000
4,3.25,2790,5420,1660,1963,970000
2,1,1200,4000,130,1940,450000
3,1,1450,4000,500,1948,525000
4,2.5,3240,3600,1180,2008,1220000
3,2,1470,1691,470,2007,540000
3,2.25,1445,1471,145,2003,389999
3,1.75,2380,6000,1060,1935,285000
4,3.5,2350,13402,680,1994,655000
5,3.75,5330,6000,1760,2006,950000
5,4.75,5305,8401,1560,2005,2700000
3,4,3880,13095,180,2009,1030000
4,3.25,3810,8519,1130,2007,1130000
3,3,1960,1168,360,2007,556000
1,0.75,1170,14149,290,1962,275000
3,2.5,3160,12824,1340,1966,1600000
3,1.75,2060,12558,710,1984,625000
2,1.75,1560,1750,780,1904,494400
4,1.75,3000,42200,1500,1950,585000
3,1.75,1650,5100,610,1908,600000
4,3,3220,8936,770,1990,430000
4,2.75,2750,14982,1030,1981,604700
3,2.25,1470,1578,380,2007,432000
4,1.75,2200,8100,800,1942,305000
2,1.75,2860,59612,1350,1948,503000
4,1.75,2740,8520,1370,1954,657000
4,2.75,2570,7264,850,1998,254500
4,2.25,2350,8140,920,1977,555000
4,3,3600,9200,1500,1976,1075000
4,2,1580,8000,540,1967,245000
3,2.75,2890,12130,60,1987,1170000
2,1,1400,4500,500,1922,180000
4,3.25,3340,10890,1100,1963,910000
6,4.5,6040,219542,1940,1996,1150000
3,3.5,1900,1612,470,2008,431500
4,1.5,1740,7292,720,1962,180000
3,2,2000,3207,900,1916,677000
3,1.75,1610,7200,520,1973,1180500
4,2.5,3240,13978,1380,1977,635700
5,2.25,2230,9600,910,1978,482000
4,2.75,2410,6000,1000,1950,805000
4,3,2170,8240,800,1968,592500
2,2.5,1230,987,170,2011,380000
4,1.75,2260,7005,1130,1947,648360
3,2.75,2200,14925,1100,1982,432000
3,2.25,998,844,200,2007,320000
2,2.5,1520,1588,280,2007,430000
3,1,1670,4005,500,1939,460000
3,1,1920,6862,800,1952,325000
4,3,3680,5854,1620,1967,980000
4,2.25,2530,9200,960,1976,902000
4,2.5,1810,39639,580,1970,235000
2,1,1680,6500,540,1941,515000
3,1.75,1680,3420,720,1992,526000
5,1.75,2120,8399,800,1942,377691
4,2.75,2250,5700,1050,1951,648475
3,1,1800,5612,600,1942,383000
3,2.75,1960,2500,550,1926,599000
2,1.5,1030,4500,200,1924,595000
4,1.75,1830,9600,820,1966,433000
4,2,3510,12905,1300,1965,554820
4,3,3370,7920,1510,1988,1325000
3,1.75,1620,7540,310,1988,258000
4,4,2290,6250,600,1940,661254
4,2,2840,13367,1420,1952,945000
3,1.75,1620,8645,430,1973,467100
4,3.5,4390,11600,1330,1990,1610000
3,1.75,1620,3975,680,1926,641000
4,2.5,1750,8476,510,1983,335000
4,2.5,2560,10400,1280,1965,440000
3,1,1430,5000,350,1919,552000
4,1.75,1814,5000,870,1951,530000
3,1.75,1300,2580,480,1919,462000
3,2.75,1800,9550,480,1966,665000
3,1,1500,3920,500,1947,606000
4,2.5,2210,6080,800,1965,334000
2,1,1140,1730,130,2007,235000
3,2.5,1620,1173,150,2008,580000
4,1.75,1960,9300,620,1979,372000
4,3.5,2630,3435,990,1984,325000
3,3,2980,28000,1160,1981,675000
2,1.5,2730,19877,1160,1976,460000
3,1.5,1690,9144,550,1956,379950
2,1,1160,6000,300,1942,468000
4,2.5,2920,7200,1450,1921,1050000
4,3,3000,4000,1030,1913,688000
3,2.5,1440,7741,440,1983,265000
4,3.75,3070,5850,670,1927,1570000
4,2.5,2680,7200,1300,1952,800000
3,1.75,1980,8100,670,1949,405000
4,2.5,2870,9292,330,1979,399000
3,2,1840,4750,830,1951,730001
4,2,2330,6250,930,1941,344950
3,1.75,1840,4030,790,1925,457500
5,2,2330,10750,1140,1962,389000
3,2.5,2330,1987,920,2004,732000
3,2.25,1950,8868,600,1964,415000
4,3.5,3080,4815,780,1937,1655000
5,3,2750,3800,1000,1926,525000
3,2.75,2640,4050,890,1926,1100000
4,2.5,1850,50662,420,1978,830000
4,2.25,1940,9144,510,1956,495000
5,3,2840,7199,1130,2003,292050
5,1.5,1900,10226,770,1961,415000
5,1,1410,6400,450,1955,295832
3,3.5,1820,1501,390,2014,499950
3,1,1600,5952,450,1964,329000
3,3,2520,2152,960,1925,780000
2,1.5,1180,844,190,2005,345000
3,2.5,1680,15711,440,1994,282000
3,3.75,3250,5797,880,1951,967500
3,1.5,2000,7294,480,1965,375000
3,1.75,2310,78844,550,1977,527500
3,2.25,2510,6339,700,1932,994000
4,1,2100,9288,1050,1968,305000
3,1,1200,6250,280,1943,280000
3,1.75,1670,7415,350,1987,274950
3,1.5,2500,4774,1050,1940,725000
4,2,1930,6600,900,1967,268000
4,3.5,3400,234352,900,1991,475000
3,3.5,1600,1431,360,2006,460000
2,2.25,1280,835,200,2009,370000
4,3,5940,11533,990,2004,1149000
3,3.5,2710,3475,1060,2005,627000
4,1,1660,34848,730,1933,550000
4,2.5,2230,10414,780,1974,544500
4,2.75,2020,2750,1010,1917,599000
2,1.75,2080,4800,1000,1923,740000
3,2,2030,24829,810,1979,225000
3,2.5,2690,7000,850,1943,925000
4,2.5,3240,10800,980,1946,1285000
4,2,1480,3132,740,1910,335000
4,2.75,3040,2800,940,1906,840000
3,1.5,1560,7300,520,1964,224000
5,1.5,2680,28014,1230,1963,898000
3,2.5,3160,4270,510,2006,555000
3,1.75,1980,5100,710,1965,432500
6,3.25,4250,23326,2100,1967,465000
3,2.5,1970,23180,870,1937,1175000
2,2,1700,3171,850,1927,189000
6,2.75,3610,17580,1540,1959,968000
4,3.25,2980,7000,840,1900,1400000
4,2.75,3650,6982,1120,1951,1210000
3,1.75,1490,9800,350,1947,745000
3,2,2520,5400,1110,1906,840500
3,1.75,1820,22320,570,1977,420000
7,4.5,4140,9066,2070,1978,565000
3,1.75,1580,7416,430,1967,600000
2,1,1270,3200,310,1920,355000
4,1,1450,6250,460,1964,277000
4,2.25,1830,9485,630,1989,236000
3,1.75,1300,4127,650,1918,270000
2,1.75,2320,5500,600,1925,700000
4,2.75,1680,9545,600,1979,425000
3,2.5,2300,5500,300,1921,635000
3,1.75,1400,4000,530,1951,510250
4,2.25,2410,4560,610,1929,960000
5,2,1940,6000,970,1945,580000
8,3.5,4440,6480,1300,1959,1970000
4,1.75,2330,4000,1030,1924,840000
3,3.75,3890,7140,1500,1943,430000
4,1.5,2040,8800,1020,1961,510000
3,2.75,2280,4280,1000,1917,875000
4,3.5,4490,5099,1100,2006,700000
4,3.25,4700,9160,2180,2005,1400000
4,2.5,3753,7204,417,2008,363000
4,3.5,3910,8095,780,2007,782000
4,2.25,2590,10002,1250,1968,452000
4,2.25,1720,9753,600,1978,264950
6,2.5,4410,14034,2060,1965,472000
3,1.75,1590,11914,500,1957,267500
3,2.5,1360,1016,50,2003,535000
4,1.5,1390,7200,250,1965,400000
4,2.25,2280,6660,320,1940,820000
